FBID_KEY;2e;4e;6e;8e;10e;12e;14e;16e;18e;20e;22e;24e;L1;L2;L312hr;L3dark;L3light;L3clear;WPP12;WPP122;WPP24;pup2;pup3;pup4
FBgn0053293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56,4941;82,2318;94,6153;80,7583;73,1669
FBgn0032269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,46062;13,51;22,7985;22,1135;39,5038;58,9371;87,0661;93,671;47,0669
FBgn0037828;0;0;0;0;0,0315284;0;0,0193115;0;0;0;0;0;0;0;0,119941;5,81127;15,629;20,6947;19,6386;37,1593;58,1815;76,1603;80,541;70,5305
FBgn0035598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,73337;14,636;21,9553;18,0538;35,0673;53,0132;72,8782;80,2034;59,9922
FBgn0031295;0;0,0271943;0;0,0606391;0,146362;0;0;0;0;0;0;0;0;0;0;6,68186;17,9978;29,6633;22,4341;45,5912;63,5824;92,1018;86,7031;55,1143
FBgn0040092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,328
FBgn0032370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0400458;5,09319;12,6329;15,0753;13,7763;22,8884;35,8537;59,8365;61,3243;59,1653
FBgn0053284;0;0,24725;0;0;0;0;0;0;0;0;0;0;0;0;0;5,89059;12,9757;17,1443;15,0678;20,6512;33,7016;56,7973;64,5309;54,1057
FBgn0040097;0;0;0,0155209;0;0,0287134;0,109389;0,175873;0,0235313;0,0886768;0,0405206;0,0356117;0,0433952;0,0213397;0,0169894;0;0,0367528;0,0331014;0,05192;0,0410682;0,144519;0,393076;0,258881;0,220822;15,5661
FBgn0028848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,263347;4,07952;10,5487;12,9446;12,1417;23,4041;37,6214;44,1781;49,8138;58,5743
FBgn0051407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,04618;12,8858;16,1419;0;33,0935;42,4436;63,8591;61,5709;62,8021
FBgn0051870;0;0;0;0,0331944;0;0;0;0;0;0;0;0;0;0;0;6,02149;14,6012;24,3925;21,4202;42,0924;61,3866;88,1242;85,8587;36,598
FBgn0052119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,01979;11,3213;14,3683;13,5517;26,4089;41,1159;50,3292;54,0132;57,2943
FBgn0038697;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,19825;13,911;18,0951;15,9667;29,1937;47,3497;59,9165;60,8963;52,9497
FBgn0046873;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,92365;7,2726;9,46009;7,62285;14,7445;25,3129;30,4305;34,3796;50,606
FBgn0035007;0;0,0141332;0;0;0,0126776;0;0;0;0;0;0;0;0;0;0,0321524;3,32659;11,0344;12,5165;11,6049;24,1409;41,3981;52,5703;51,861;53,8303
FBgn0033442;0;0;0,0193507;0,0148316;0;0;0;0,0880134;0;0;0;0;0;0;0,885205;8,45411;17,5394;22,3809;19,5847;33,2131;48,3862;65,0612;61,4747;44,6078
FBgn0040371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,69774;14,8085;22,2745;20,3086;31,9455;47,573;63,3196;63,6467;41,8325
FBgn0052591;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,77811;13,1328;16,0835;15,1889;27,5455;43,1963;50,1273;48,301;49,1866
FBgn0053189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,0956;14,3529;14,2473;26,7776;37,3266;53,3508;55,291;50,4435
FBgn0050056;0;0;0;0;0;0;0;0;0;1,65172;0;0;0;0;0;2,91067;7,32475;12,0937;9,42248;16,9155;23,4391;36,1342;38,1269;55,5067
FBgn0051913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,00331;7,37175;8,7933;8,55436;17,2739;27,1595;37,2623;40,5801;44,7051
FBgn0034546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,104564;3,72429;8,69123;9,94733;9,28352;19,5755;28,9304;36,7969;38,9704;50,9949
FBgn0028531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,19905;11,8651;14,1949;13,6565;26,209;43,0824;46,8412;45,79;47,1684
FBgn0264086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,49245;7,85687;11,3153;10,9125;20,6113;33,9595;49,2071;56,2939;42,0139
FBgn0053937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,1626;37,6317;45,6586;47,286;42,0558
FBgn0035008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,118239;4,46083;12,3349;15,2137;14,0887;25,7335;41,3886;52,7382;51,8776;41,2108
FBgn0250840;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,205398;5,18319;11,2971;17,0058;15,8405;27,8544;42,8327;54,4976;54,5508;36,69
FBgn0052371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0885719;4,15729;11,575;18,866;16,5212;28,344;42,5664;60,5407;63,2179;38,9517
FBgn0032122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,45099
FBgn0013301;0;0;0;0;0;0;0;0;0,0221363;0;0;0;0;0;0,10907;5,28454;13,6836;18,0413;15,0291;33,214;47,6747;57,605;52,496;34,5374
FBgn0259951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,732523
FBgn0031240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,81287;10,3812;14,1683;12,9311;23,8338;38,491;48,4349;52,4214;40,09
FBgn0036437;0,018699;0;0,020715;0,111142;0,268257;3,12434;3,57963;2,13563;2,95883;2,28493;1,49718;1,41898;0,48418;0;0;7,28429;14,6895;22,1745;18,595;34,8636;55,8548;65,9673;60,2952;36,7389
FBgn0033542;0;0;0;0,0955013;0;0;0;0;0;0;0;0;0;0;0;7,78187;18,6235;25,1647;22,364;42,1532;64,321;57,8451;47,87;36,2867
FBgn0050350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,04002;8,7648;11,1557;9,39693;18,037;29,743;38,1777;39,4849;43,4152
FBgn0250826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,44106;8,29781;10,8199;10,0779;19,6779;29,0859;38,2519;44,3233;34,2228
FBgn0036085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,8184;9,32902;13,1246;11,7516;19,7032;30,2;39,3648;41,7354;39,4099
FBgn0035852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,3392;11,9629;14,2754;13,0852;25,1056;37,8237;46,669;42,0101;42,5684
FBgn0039576;0;0;0;0,0475848;0;0;0;0;0;0;0;0;0;0;0,0728214;4,85137;10,5924;10,7474;10,8009;21,8223;33,8046;40,1863;42,2139;43,5851
FBgn0030319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,11632;9,08158;9,06064;8,23656;15,7051;24,5263;28,1994;27,9275;34,9397
FBgn0061435;0;0,0754195;0,127301;0;0;0;0;0;0;0;0;0;0;0;0,0858081;4,99211;7,49156;12,9315;10,9146;20,372;30,5134;39,735;40,6996;43,4917
FBgn0261268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,50187;41,1001;21,3407;12,8177;25,3635;28,1275;30,9354;35,0456
FBgn0052161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,85957;8,00796;5,3473;11,6607;17,8159;25,7202;29,1061;34,0466
FBgn0039694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,0739;9,07452;9,98156;8,89714;19,6556;30,6079;36,3412;34,2338;41,8013
FBgn0259964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,2675
FBgn0052450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,72663;13,5422;20,5359;15,0787;28,3113;46,1499;55,4859;52,008;32,4122
FBgn0032424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,78674;5,07024;5,89424;5,1966;10,7524;17,9521;21,146;25,2861;32,1527
FBgn0259729;0;0;0;0;0;0;0;0;0;0,023135;0;0;0;0;0;1,40591;4,68695;4,95044;4,68952;12,2118;18,2981;23,524;27,4323;30,4915
FBgn0034721;0,0326908;0,261415;0;0;0;0;0;0;0;0;0;0;0;0;0;2,40119;6,37201;7,90481;6,27659;14,1347;21,5231;28,228;29,3908;35,5197
FBgn0031591;0;0,0308618;0;0,0917562;0,0553669;0,0210931;0;0,0226873;0;0;0,0343344;0;0;0;0,0351047;4,25215;9,0636;13,0651;11,2846;19,9946;30,2929;43,2376;44,0884;32,664
FBgn0050093;0;0;0,0197913;0;0;0;0;0;0;0;0;0;0;0;0;2,20266;7,13331;7,91154;7,88135;14,8961;22,6221;29,9131;30,1994;39,1434
FBgn0028943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,8848;6,24476;8,61531;6,64497;13,002;22,9144;31,673;33,0691;38,4575
FBgn0038377;0;0;0,00812941;0;0,0605994;0;0;0;0;0;0;0;0;0;0;3,14043;6,46909;9,04354;7,46651;14,6479;22,8125;29,1222;30,8722;28,3083
FBgn0259965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,05799
FBgn0052026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,51956;6,39682;8,75917;8,88645;14,8475;25,2023;32,5004;34,6893;31,5861
FBgn0029153;0;0;0,0308664;0;0;0;0;0;0;0;0;0;0;0;0;0,921381;4,92743;9,92871;8,12741;16,7789;27,4684;32,5301;33,1074;32,3074
FBgn0033074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,31792;8,16914;11,2603;9,41134;18,3348;29,1304;38,7955;38,4645;30,8271
FBgn0050378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,78362;6,85013;10,2644;8,47117;17,6704;29,83;38,5708;40,2606;24,5943
FBgn0036029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,64415;15,8268;19,7916;18,4199;28,9488;45,8215;46,8003;38,4632;30,9229
FBgn0050156;0;0;0;6,0588;7,69107;0;0;3,71746;2,4359;2,54145;0;2,06689;0;0;0;4,66227;9,35033;12,2789;12,5304;21,377;32,4391;36,052;36,2998;33,7562
FBgn0034904;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,32772;6,97763;0;8,9475;16,2202;27,5455;34,5964;38,6081;26,0377
FBgn0052832;0;0;0;0;0,0400319;0,0610037;0;0,0328072;0;0;0,099299;0,0605012;0,0297516;0;0,0507635;3,33063;8,49153;10,3512;8,21636;14,5406;21,1902;28,9022;28,1443;25,2447
FBgn0032268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,51365;7,12795;9,0117;7,66183;15,6272;24,9554;30,8492;33,9725;32,5082
FBgn0033243;0;0;0;0;0;0;0,835112;0;0,961142;1,71494;3,19816;1,59022;2,26889;0,911946;0;5,91839;12,4034;14,417;12,951;23,7943;31,5408;37,5358;30,8486;31,7112
FBgn0030951;0;0;0;0;0;0;0;0;0;0,0304585;0;0;0;0;0,0547382;2,65212;5,02608;8,11763;5,92705;11,9857;18,7523;22,4234;26,226;32,8652
FBgn0030536;0;0;0;0;0,0303386;0,0346743;0;0;0,0351361;0,0856285;0;0,0114629;0;0;0;4,17457;8,70878;11,2323;10,2841;16,9496;26,6778;33,5817;32,772;31,3102
FBgn0052628;0;0;0;0;0;0;0;0;0;1,97432;1,76351;1,46424;0;0;0;2,69767;10,4412;15,7982;15,9363;15,697;24,857;30,0132;25,3034;37,381
FBgn0036438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,2718;9,37525;15,8844;11,9609;23,2012;36,1299;46,7977;42,4084;21,8971
FBgn0259961;0;0;0;0;0;0,0583409;0;0;0;0;0;0,0578603;0;0;0;0;0;0;0;0;0;0,265519;0;5,49392
FBgn0036072;0;0,333301;0,795616;0,343019;0,298975;0,403032;0,408511;0;0;0;0;0;0;0;0,233306;0,500434;0,477228;0,623782;1,13483;1,56266;1,51121;1,64286;0,854864;3,04359
FBgn0036708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,6804;6,40574;8,08768;6,81212;12,7799;20,424;28,7124;35,0045;28,3563
FBgn0037454;0;0;0;0;0;0,0215255;0;0;0;0;0;0;0;0;0;3,146;6,85562;10,0635;8,77837;17,1577;26,2987;33,0929;35,9575;25,2029
FBgn0030624;0;0;0;0;0;0;0;0,0515731;0,0387021;0,0312462;0,0252002;0,0155787;0;0;0,182193;3,05709;8,17387;9,90965;8,53307;13,7916;21,6321;26,0007;27,8693;34,0461
FBgn0263033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,50498;6,24625;9,47563;8,42046;14,4495;23,6766;29,9837;34,4342;22,823
FBgn0051008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,28339;6,63126;8,8213;6,84738;14,9645;21,3311;32,5717;30,9151;28,3569
FBgn0039246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,31603;4,61453;5,60446;5,32539;11,4299;17,8102;24,0367;31,7756;30,7182
FBgn0033893;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,48498;7,18726;9,31119;7,11109;14,9614;26,0366;28,2421;27,7161;30,766
FBgn0035384;0;0;0;0;0,0209505;0;0;0;0;0,0147828;0;0;0;0;0,159401;3,5934;6,56938;9,09191;8,92959;14,2178;19,6939;25,8925;30,1431;20,1432
FBgn0051644;0;0;0,0243692;0,0373563;0,0450827;0,0343502;0;0;0;0;0;0;0;0;0,285841;3,92397;8,0557;12,8393;10,4137;21,6697;29,8297;40,8656;39,5829;27,7109
FBgn0038281;0;0,0274022;0;0;0;0;0;0;0;0;0;0;0;0;0;3,39793;7,19746;13,0005;9,19341;19,5058;28,1308;41,9024;45,0219;26,8663
FBgn0051697;0;0;0;0;0;0;0;0;0;1,85658;1,19655;1,36971;0;0;0;2,6569;5,99917;8,11462;7,69394;15,1316;21,3452;27,6768;28,5169;28,3886
FBgn0052299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,84139;4,16248;7,69231;4,37273;12,0982;19,5057;23,3992;25,4239;23,3405
FBgn0051347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,7914;26,0282;32,139;33,8609;27,5643
FBgn0051680;0;0;0,020572;0;0;0;0,0466219;0;0;0;0;0;0;0;0;0;0;0;0;0,0319253;0;0,0263948;0;5,03664
FBgn0032530;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,02265;4,98887;7,56258;5,53097;10,2786;15,3426;21,6822;22,422;23,8302
FBgn0250825;0;0;0,0274474;0;0;0;0;0;0;0,214973;0,125953;0,153482;0;0,0300444;0,193168;3,83467;9,19033;11,523;10,9302;18,1881;29,4269;34,9345;31,1755;16,8403
FBgn0051115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,80533;3,20677;5,27781;0;10,106;12,89;18,3275;20,2753;32,3902
FBgn0051244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,92479;5,23964;8,00459;5,82406;12,8128;18,1341;27,362;32,7884;25,2028
FBgn0260466;0;0;0,0105149;0;0,0194582;0;0;0;0;0;0;0;0;0;0;3,72799;8,98196;13,4392;11,3513;19,9966;32,5074;41,497;39,1322;24,5732
FBgn0051952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,37593;4,4922;4,13046;4,17042;7,41675;13,7347;17,7808;19,1002;20,5678
FBgn0037500;0;0;0,0152782;0;0;0;0;0;0;0;0;0,0215024;0;0;0;1,82714;4,69548;6,12101;5,47271;10,7268;16,948;24,2827;26,8768;22,2684
FBgn0051921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,85366;5,34997;7,53599;7,18485;13,8669;20,8239;28,0483;32,2994;20,8736
FBgn0259970;0;0;0;0;0,0941238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,675351
FBgn0038109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,8523;0;0;22,5995;33,6849;34,1107;30,3763;23,5928
FBgn0036442;0;0;0;0,0380679;0;0;0;0;0;0;0;0;0;0;0;0;4,02513;5,73196;5,09245;10,4824;15,4715;23,1958;29,1486;26,9569
FBgn0038423;0;0;0;0;0,0627363;0;0,0132557;0;0;0,0459261;0,0268257;0,0491938;0;0;0;2,53498;7,34094;10,4302;9,10158;20,3944;30,1736;39,1448;39,3716;22,5516
FBgn0031367;0;0;0;0;0,0272149;0;0;0;0,0210123;0;0,0337532;0;0;0;0,138042;3,93634;8,81607;12,9916;10,8211;18,6745;26,7997;29,2369;29,6506;22,7382
FBgn0052396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,67748;4,11428;5,23671;4,57732;9,64884;15,3565;21,392;23,7272;24,7117
FBgn0033063;0;0;1,77373;1,99138;1,43271;0;0;0;0;0;0;0;0;0;0,205121;4,2297;9,61692;13,8098;11,3531;20,819;32,6889;35,5629;31,974;23,3048
FBgn0032590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,99955;6,47052;9,48906;9,2236;15,8569;24,6738;31,3539;34,3311;20,302
FBgn0259184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,58961;6,92735;10,8111;8,55144;15,5022;21,22;32,0837;32,3182;22,2921
FBgn0040694;0;0;0;0;0;0;0;0;0;0,0285428;0,0501699;0,152838;0,180381;0,311151;0,769434;2,84777;5,3162;9,69173;6,33535;13,9805;19,6403;25,5299;26,2357;18,3177
FBgn0036941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,1813;3,90109;4,48103;4,07001;8,15757;13,5544;18,2775;20,088;26,9509
FBgn0033168;0,229233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,04965;5,45464;8,49501;6,45549;12,5548;16,8442;23,4362;24,9042;24,9071
FBgn0034560;0;0,0194667;0,0755115;0,0289385;0,0698475;0;0,0213912;0,100173;0,0404462;0,0246424;0;0,0527811;0;0,010332;0,0664289;3,26325;7,30734;10,3092;7,67994;15,5709;23,3788;25,9166;24,665;25,5873
FBgn0046793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,71795;5,91453;9,55129;7,42293;13,4091;19,8005;28,1821;28,2737;23,2059
FBgn0038934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,76496;4,42949;10,7246;10,9161;11,4875;19,6497;31,7641;30,4818;24,602;19,6596
FBgn0051418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,1261
FBgn0085479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,62636;4,66684;5,91744;5,49421;10,2124;16,8278;20,227;21,5412;23,475
FBgn0050355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,18154;6,43986;10,1474;8,44794;14,531;21,4685;31,0118;31,0055;18,6108
FBgn0029539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,27329;5,13593;4,84435;4,41307;7,49965;14,1208;13,8623;14,7389;18,9588
FBgn0051206;0,0272502;0,0311298;0,0905646;0,0462764;0,0837715;0,0851051;0,0684147;0,0457686;0,0431193;0,177329;0,173162;0,253212;0;0,0495667;0,283276;2,93087;6,72796;9,61879;8,44709;15,9519;25,0003;32,1869;32,5884;20,3474
FBgn0260480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,7092;4,71437;8,22455;5,95645;12,9237;18,5086;22,8979;24,101;24,6846
FBgn0034459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,52271;4,34418;5,42129;5,24713;10,7927;17,2144;22,186;25,8206;21,7971
FBgn0043539;0;0;0;0;0,0526722;0;0;0;0;0;0;0;0;0;0,0670144;0;0;0;0,22793;0,136738;0,0966204;0,0365485;0,135775;5,29816
FBgn0086034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,21525;8,99718;10,7754;0;35,411;40,4012;35,6869;16,5769
FBgn0028857;0;0;0,0844184;0,0135267;0;0;0;0;0;0;0;0;0;0;0;2,1634;7,13373;10,1391;8,35313;16,4703;25,6209;33,4733;34,2182;20,4033
FBgn0050393;0;0;0;0,0131376;0,0317097;0;0;0;0;0;0;0;0;0;0;4,44441;10,5646;14,5495;12,631;24,3523;34,3659;34,1317;29,6399;19,3646
FBgn0261686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,77562;4,53389;8,35979;7,37245;13,8282;18,2819;29,0202;30,6183;17,8145
FBgn0035263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,59348;7,83987;0;16,07;25,7623;28,5984;23,9438;21,5607
FBgn0052655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,43746;6,36186;9,15297;7,60121;12,8609;18,4078;26,9126;28,8541;13,6789
FBgn0042198;0;0;0;0;0;0,0524132;0;0;0,0796669;0,145614;0;0,0259907;0;0;0;1,10062;4,12369;6,34368;5,50972;10,935;16,8251;24,7129;24,5998;19,5235
FBgn0032588;0;0;0;0;0,0996319;0;0;0;0;0;0;0;0;0;0;3,61329;10,2223;14,3524;14,0364;24,9617;35,6137;44,3385;34,7569;7,30758
FBgn0259969;0;0;0,0753071;0,173161;0,139317;0,0796132;0,256;0,0285434;0,0806735;0,0491514;0;0,0263191;0,025885;0,0412161;0;0,0445811;0,0803037;0,0314894;0,0996311;0,0876504;0,158933;0,0966221;0,15625;2,88778
FBgn0085454;0,034174;0,0130131;0;0;0;0;0;0;0;0;0;0;0;0;0;2,28601;5,47692;7,52472;7,05389;14,1983;22,4784;27,8734;26,2059;19,2729
FBgn0033141;0;0;0;0;0;0,0144846;0;0;0,0146775;0,0804824;0,0235774;0;0,0282567;0;0;2,18996;5,43502;7,78585;6,75671;12,7575;20,3511;25,1163;25,3047;20,8845
FBgn0050192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,126777;3,00726;6,05086;9,28841;7,57974;14,2409;22,4457;29,7223;30,8196;17,0568
FBgn0031531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,7089;9,18614;13,456;11,3264;19,9702;30,141;37,7943;29,7545;18,7431
FBgn0032577;0;0;0;0;0,03158;0;0;0;0;0;0;0;0;0;0,0800916;3,67841;7,172;10,3643;8,24321;14,4377;22,6824;28,1004;27,2417;17,5482
FBgn0035380;0;0;0,00637922;0;0;0;0;0;0;0;0;0;0;0;0;2,31118;7,6732;10,9259;9,37651;17,5919;26,5601;30,5457;27,7045;20,5671
FBgn0051742;0;0;0,0192436;0,0147495;0,0712006;0;0,0109028;0,0145877;0;0;0;0;0;0;0,0225719;4,16948;12,8868;18,9257;14,8809;27,0266;44,6094;43,7389;32,7632;19,101
FBgn0033056;0;0,00976871;0,0189465;0,0217827;0,026288;0;0;0;0;0;0;0;0;0;0,100005;1,82823;4,78824;5,46645;5,32655;10,2247;17,146;19,7451;19,9306;19,9238
FBgn0036093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,18118;6,16846;8,07368;8,39181;16,132;26,49;31,7615;32,1241;19,9628
FBgn0034776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,898106;3,1681;4,24674;3,17793;7,91321;12,6293;16,8291;19,5608;19,7493
FBgn0050487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,75204;8,563;16,6732;13,3512;21,2472;31,5314;44,3112;37,4812;17,0393
FBgn0040816;0;0;0;0;0;0,0313473;0;0;0,0317648;0;0;0;0;0;0;2,949;4,74288;6,62096;4,26619;9,14567;12,2781;18,6608;18,3777;17,6134
FBgn0259739;0;0;0;0;0;0;0,0414689;0;0;0;0;0;0;0;0;4,09465;7,96105;16,4045;16,3892;27,4596;40,2091;49,5375;39,9185;13,7367
